,Year,Mon,Month,PRCP,TMAX,TMIN,RH,EVP,TSUN,U2,PET,SPI
109,Jan-70,1,JAN,18,33.3,20,79,5.6,7.2,1,129.5635857,1.20029064
110,Feb-70,2,FEB,0,35.1,20.5,71,7.7,7.5,3,159.4189545,-0.253347103
111,Mar-70,3,MAR,50.3,35.8,23.3,74,6.4,7.7,4,198.3663095,0.423761212
112,Apr-70,4,APR,75.7,34.3,23.3,75,4.9,5.9,3,159.8059559,-0.422229203
113,May-70,5,MAY,165.4,32.7,22.2,80,3.4,7.1,3,158.9933382,0.207158047
114,Jun-70,6,JUN,146.4,31.4,20.8,81,2.8,7.4,2,147.382647,-0.635557526
115,Jul-70,7,JUL,119.3,29.4,21.1,83,2.2,4.7,3,122.3362752,-0.394961366
116,Aug-70,8,AUG,42.2,28.2,20.2,85,2.3,2.4,2,101.769129,-1.456354776
117,Sep-70,9,SEP,260.3,29.2,20.8,86,1.9,4.3,2,113.7507571,0.565872328
118,Oct-70,10,OCT,60.7,31.5,21,78,3,7.2,2,147.07762,-1.1934026
119,Nov-70,11,NOV,0,34,19,66,6,8.1,1,136.2241935,-0.253347103
120,Dec-70,12,DEC,0,34.4,17,57,7.1,8.3,2,159.9090731,0.604585347
121,Jan-71,1,JAN,0,33.3,18.1,59,7.3,8,1,129.0852137,0.253347103
122,Feb-71,2,FEB,6.6,35.1,21.3,71,7.1,7.5,2,146.1965105,0.252415205
123,Mar-71,3,MAR,31.8,35.8,22.8,69,5.9,7.6,5,212.1959096,-0.1918676
124,Apr-71,4,APR,100.8,34.3,22.9,72,5.3,7.7,5,197.1893577,0.038778709
125,May-71,5,MAY,156.1,32.7,22.6,77,3.9,7.8,3,170.962593,0.071803031
126,Jun-71,6,JUN,169.1,31.4,21.4,82,2.6,6.5,3,148.1938129,-0.254381786
127,Jul-71,7,JUL,93.4,29.4,20.9,84,2.2,4.8,3,127.9105017,-0.845280756
128,Aug-71,8,AUG,112.4,28.2,20.8,86,1.8,3.2,3,112.6977727,-0.20503322
129,Sep-71,9,SEP,269.6,29.2,20.4,85,1.9,4.2,2,118.0607014,0.674435169
130,Oct-71,10,OCT,167,31.5,20.6,82,3,7.2,2,147.3979299,0.364576599
131,Nov-71,11,NOV,0,34,19.4,68,5.8,7.9,2,155.9219664,-0.253347103
132,Dec-71,12,DEC,0,34.4,17.3,53,6.7,7.3,2,156.4136371,0.604585347
133,Jan-72,1,JAN,0,34,18.1,69,6.8,8,2,152.6146928,0.253347103
134,Feb-72,2,FEB,17.8,35.5,22,70,6.5,8.5,3,164.766836,0.730365897
135,Mar-72,3,MAR,24.6,36.7,22.8,69,6.1,7.5,3,191.1623895,-0.491160656
136,Apr-72,4,APR,121.7,36.1,22.8,74,4.3,6.8,2,170.1390381,0.366426736
137,May-72,5,MAY,202.7,33.3,22.4,79,3.3,6.8,3,166.9503568,0.704323608
138,Jun-72,6,JUN,216.2,30.7,21.5,83,2.2,6.5,2,133.3072105,0.438324217
139,Jul-72,7,JUL,128.8,29.6,21.7,85,2,5.3,3,135.8720042,-0.246730082
140,Aug-72,8,AUG,91.2,29.4,21.2,85,2,3.9,2,116.5185324,-0.50305022
141,Sep-72,9,SEP,141.6,29.9,21.2,86,2.1,4.5,2,123.9799942,-1.129466584
142,Oct-72,10,OCT,252.7,31.8,21.5,82,2.6,7.5,2,139.8345411,1.166918297
143,Nov-72,11,NOV,0,34.3,17.6,69,5.8,6.8,2,154.0862453,-0.253347103
144,Dec-72,12,DEC,0,33,19.1,63,6.3,7.5,3.2,157.1603175,0.604585347
145,Jan-73,1,JAN,0,34.9,19.6,62,7.7,7.6,4,180.6028972,0.253347103
146,Feb-73,2,FEB,0,37,23.5,68,7.8,8.1,4,174.4841681,-0.253347103
147,Mar-73,3,MAR,23,35.5,23.5,59,7.9,6.1,4,181.5116564,-0.56438477
148,Apr-73,4,APR,120.4,33.1,23.3,82,5.7,6.8,3,163.4284657,0.347191551
149,May-73,5,MAY,95,32.3,22.6,76,3.7,7.8,5,173.378528,-0.99136927
150,Jun-73,6,JUN,269,31.1,21.6,83,2.2,7,4,151.8926733,1.104709509
151,Jul-73,7,JUL,212.6,28.1,21.7,81,2.3,6.1,3,121.0785113,0.820876643
152,Aug-73,8,AUG,208.9,29,21.6,85,2,4.5,3,118.9014035,0.807660483
153,Sep-73,9,SEP,306,29.4,21.7,85,1.9,4.7,3.2,124.3024086,1.077213308
154,Oct-73,10,OCT,225.9,30.4,21.3,80,2.4,7,2.6,144.663591,0.938090726
155,Nov-73,11,NOV,0,32.4,17.8,68,5,8.3,2.6,158.4353269,-0.253347103
156,Dec-73,12,DEC,0,33.7,20.4,72,5.3,7.8,3.4,169.383457,0.604585347
157,Jan-74,1,JAN,54.4,34,17.7,51,6.9,3.5,3,152.5674841,1.893056681
158,Feb-74,2,FEB,9.4,36,21.4,61,7.3,6,3,152.4260425,0.392154562
159,Mar-74,3,MAR,27.2,36,23.5,66,6.5,7.9,3,187.0989976,-0.377774343
160,Apr-74,4,APR,70.6,34,22.6,72,4.7,6.7,3,170.7265492,-0.528356275
161,May-74,5,MAY,172.9,31,22.3,78,3,6.7,4,155.4624989,0.312669464
162,Jun-74,6,JUN,201.9,30,21.3,80,2.4,7.2,5,148.5782691,0.239667992
163,Jul-74,7,JUL,149.2,29,21.6,82,2.1,4.9,3,114.9488544,0.048188859
164,Aug-74,8,AUG,98.6,28,21.4,83,2,4,3,113.9330199,-0.394063751
165,Sep-74,9,SEP,366.4,30,21.1,83,1.8,4.6,3,127.3916217,1.681914203
166,Oct-74,10,OCT,105.9,31,21.3,83,2,5.4,3,148.8294438,-0.397371533
167,Nov-74,11,NOV,0,32,18.9,68,5.1,8.1,3,156.0560269,-0.253347103
168,Dec-74,12,DEC,0,32,16.1,56,7.1,7.9,3.1,162.550723,0.604585347
169,Jan-75,1,JAN,0,33.9,14.4,38,8.6,7.2,4,191.7439307,0.253347103
170,Feb-75,2,FEB,17.8,35.1,21.3,63,6.6,8.4,4,174.5100489,0.730365897
171,Mar-75,3,MAR,23.1,35.8,23.1,69,6.2,6.7,4,188.7109016,-0.55972577
172,Apr-75,4,APR,91.9,34.5,22.4,74,4,7.4,3,177.9498899,-0.114678946
173,May-75,5,MAY,152.9,31.1,22.2,79,2.8,6.8,2,141.4501745,0.023985497
174,Jun-75,6,JUN,171.3,29.9,21.6,81,2.3,6.7,3,135.1041965,-0.219325436
175,Jul-75,7,JUL,272.8,28,21.1,84,1.6,4.4,4,113.2287527,1.424930898
176,Aug-75,8,AUG,28.8,27.9,20.3,85,1.7,2.2,4,114.9222216,-1.860759342
177,Sep-75,9,SEP,264.9,29.5,20.8,85,1.6,3.3,4,126.111768,0.619883251
178,Oct-75,10,OCT,64,30.4,20.8,79,2.4,5.9,4,153.113077,-1.123118172
179,Nov-75,11,NOV,0.5,32.3,20.7,74,4.3,7.1,3,151.6947215,-0.055971599
180,Dec-75,12,DEC,2.5,32,17.2,57,6.6,8.3,3.3,212.1803215,0.874358306
181,Jan-76,1,JAN,0,32.9,18.1,59,6.5,8,4.2,180.3208711,0.253347103
